,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,compris,understood
29,savais,knew
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,corps,body
39,écoute,listen
40,trouve,find
41,premier,first
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,sois,be
48,matin,morning
49,tellement,so much
50,point,point
51,suite,after
52,pardon,sorry
53,devant,in front of
54,vers,towards
55,minutes,minutes
56,chambre,bedroom
57,mis,placed
58,belle,beautiful
59,droit,law
60,aimerais,would like to
61,aujourd'hui,today
62,mari,husband
63,enfin,finally
64,eau,water
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,boulot,job
69,terre,Earth
70,fin,end
71,croire,believe
72,gros,large
73,plutôt,rather
74,aura,will have
75,filles,girls
76,bureau,office
